team1,team1_bpi,team2,team2_bpi,team1_points,team2_points,points_difference,offensive_efficiency_team1,offensive_efficiency_team2,offensive_efficiency_difference,defensive_efficiency_team1,defensive_efficiency_team2,defensive_efficiency_difference,team1_tempo,team2_tempo,tempo_difference,team1_efgpct,team2_efgpct,efgpct_difference,team1_experience,team2_experience,experience_difference,team1_rating,team2_rating,rating_difference,team1_winner,team2_winner
Missouri Tigers,31,Arkansas Razorbacks,43,85,92,7,126.20,111.80,14.40,100.40,95.00,5.40,68.31,69.16,0.85,56.80,52.28,4.52,2.64,1.54,1.10,25.8,16.8,9,0,1
Clemson Tigers,15,SMU Mustangs,44,79,69,10,121.00,118.70,2.30,96.40,102.10,5.70,64.08,69.10,5.02,54.51,55.08,0.58,3.02,2.76,0.26,24.6,16.6,8,1,0
BYU Cougars,24,Arizona Wildcats,10,96,95,1,123.50,120.20,3.30,101.20,95.00,6.20,67.28,70.28,3.00,57.79,52.14,5.65,1.92,2.72,0.80,22.3,25.2,2.9,1,0
Mississippi State Bulldogs,36,Oklahoma Sooners,50,87,93,6,119.10,118.40,0.70,98.70,101.80,3.10,67.92,68.74,0.82,51.98,54.78,2.80,2.27,2.31,0.04,20.4,16.6,3.8,0,1
Ole Miss Rebels,30,Vanderbilt Commodores,66,72,77,5,118.10,119.90,1.80,96.00,102.10,6.10,68.33,69.40,1.07,51.85,52.27,0.43,3.46,2.39,1.07,22.1,17.8,4.3,0,1
UConn Huskies,20,St. John's Red Storm,17,75,89,14,122.40,113.90,8.50,104.10,89.20,14.90,64.33,70.11,5.78,55.74,49.54,6.20,1.75,2.36,0.60,18.3,24.7,6.4,0,1
Purdue Boilermakers,16,Indiana Hoosiers,51,58,73,15,124.10,115.40,8.70,99.50,98.80,0.70,65.39,68.38,2.99,56.57,52.13,4.44,1.73,2.27,0.53,24.6,16.6,8,0,1
Houston Cougars,2,Texas Tech Red Raiders,8,69,61,8,124.90,124.30,0.60,89.50,96.70,7.20,61.18,65.85,4.67,53.21,55.64,2.43,2.63,2.67,0.04,35.4,27.6,7.8,1,0
Michigan Wolverines,32,Nebraska Cornhuskers,52,49,46,3,117.10,113.20,3.90,96.00,97.60,1.60,69.84,67.55,2.29,55.62,51.57,4.05,2.24,2.79,0.55,21.1,15.6,5.5,1,0
Florida Gators,4,Georgia Bulldogs,38,83,88,5,126.90,115.50,11.40,93.00,96.60,3.60,69.49,66.79,2.69,54.40,52.49,1.90,2.41,1.87,0.55,33.9,18.9,15,0,1
Mississippi State Bulldogs,36,Alabama Crimson Tide,6,73,111,37,119.10,127.30,8.20,98.70,97.90,0.80,67.92,75.00,7.09,51.98,56.57,4.59,2.27,2.99,0.72,20.4,29.4,9,0,1
Ole Miss Rebels,30,Auburn Tigers,3,76,106,30,118.10,130.70,12.60,96.00,93.10,2.90,68.33,68.56,0.23,51.85,56.05,4.20,3.46,2.79,0.67,22.1,37.6,15.5,0,1
St. John's Red Storm,17,Butler Bulldogs,64,76,70,6,113.90,116.70,2.80,89.20,105.20,16.00,70.11,67.87,2.24,49.54,53.25,3.71,2.36,2.89,0.53,24.7,11.5,13.2,1,0
Michigan State Spartans,11,Maryland Terrapins,13,58,55,3,118.10,118.50,0.40,91.20,93.70,2.50,67.80,70.08,2.28,50.96,54.50,3.55,1.62,2.14,0.53,26.9,24.8,2.1,1,0
Vanderbilt Commodores,55,Texas A&M Aggies,23,86,84,2,119.90,115.90,4.00,102.10,93.00,9.10,69.40,66.77,2.63,52.27,47.60,4.67,2.39,2.97,0.57,17.8,22.9,5.1,1,0
Kentucky Wildcats,14,Oklahoma Sooners,50,83,82,1,125.30,118.40,6.90,100.90,101.80,0.90,70.82,68.74,2.08,56.17,54.78,1.39,3.09,2.31,0.78,24.4,16.6,7.8,1,0
Utah Utes,58,Arizona Wildcats,10,66,83,17,113.60,120.20,6.60,102.00,95.00,7.00,68.82,70.28,1.46,52.58,52.14,0.44,2.04,2.72,0.69,11.6,25.2,13.6,0,1
UCLA Bruins,26,Purdue Boilermakers,16,66,76,10,116.50,124.10,7.60,95.00,99.50,4.50,64.91,65.39,0.48,52.94,56.57,3.63,2.23,1.73,0.50,21.5,24.6,3.1,0,1
